question,contexts,ground_truth,evolution_type,metadata,episode_done
What are the recommended storage practices for wheat grains?,"[""{'Crop name': 'Wheat', 'Crop harvesting_guidelines_are': 'When the moisture level of grain is 25% it is the proper time for manual harvesting. Generally, wheat is manually harvested but for quick harvesting, combine harvester should be used to avoid losses in grain yield due to shattering and lodging. Wheat should be harvested 4-5 days before it is dead ripe. Morning is the best time for harvesting. Mechanical harvesting through combine machine is done at places where uniform ripening of wheat happens. In case of manual harvesting, bundles are made and dried for 3-4 days and threshed by thresher. Before storage, grain should be dried by spreading on tarpaulin plastic sheets in bright sunlight to a moisture level below 12%.', 'Crop storage_guidelines_are': 'For storage, use bins and silos made of GI sheets. Now a days, aluminium bins, Pusa bins, silos and poly lined bags are available for storage. Farmers can store wheat grains in their traditional storage as well. Improved storage structures of various capacities are now available. The air-tight bin can be used. It is so constructed that it does not allow entry of any outside insects and rodents and the insects present in the grain do not get favourable atmosphere to develop. For filling and using the metal bin, the following storage practices are recommended: Clean the bin thoroughly and do not allow the left-overs of the previously stored grains to remain in the bin. Inspect the covers to ensure that the gaskets are intact. Clean and sort the grains of all impurities. Broken kernels and other impurities lead to insect attraction and, hence, should be separated. Do not mix the new grains with old stock as the latter may be infested with insects. Never store infested grains, or grains with high moisture content. Dry the grains out in the sun, cool it and fill in the bin later in the evening. The moisture content of the grains should not be higher than 9 %. Fill-in the bin to full capacity and tight the lid properly. Do not open the bin for the first 30 days and thereafter open it fortnightly. The cover should be replaced immediately after use. Inspect the grains frequently.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone name': 'Northern Hills Zone', 'Crop has_growing_zones CropGrowingZones CropGrowingZone has_regions': 'hills of West Bengal'}""]","For storage, use bins and silos made of GI sheets. Now a days, aluminium bins, Pusa bins, silos and poly lined bags are available for storage. Farmers can store wheat grains in their traditional storage as well. Improved storage structures of various capacities are now available. The air-tight bin can be used. It is so constructed that it does not allow entry of any outside insects and rodents and the insects present in the grain do not get favourable atmosphere to develop. For filling and using the metal bin, the following storage practices are recommended: Clean the bin thoroughly and do not allow the left-overs of the previously stored grains to remain in the bin. Inspect the covers to ensure that the gaskets are intact. Clean and sort the grains of all impurities. Broken kernels and other impurities lead to insect attraction and, hence, should be separated. Do not mix the new grains with old stock as the latter may be infested with insects. Never store infested grains, or grains with high moisture content. Dry the grains out in the sun, cool it and fill in the bin later in the evening. The moisture content of the grains should not be higher than 9 %. Fill-in the bin to full capacity and tight the lid properly. Do not open the bin for the first 30 days and thereafter open it fortnightly. The cover should be replaced immediately after use. Inspect the grains frequently.",simple,[{}],True
What is the growing zone for wheat in the North Western Plains Zone?,"[""{'Crop name': 'Wheat', 'Crop seed_germination_test_requirements_are': 'Seed germination test should be conducted to check seed germination status of seed. To ensure optimum plant population and thereby good yield, minimum 85% germination is essential.', 'Crop harvesting_guidelines_are': 'Harvest crop at proper maturity to minimize risk due to shattering, threshing etc.', 'Crop storage_guidelines_are': 'Follow proper storage practices for wheat produce to avoid post-harvest losses.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'North Western Plains Zone', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations variety_name': 'NWPZ'}""]",The growing zone for wheat in the North Western Plains Zone is NWPZ.,simple,[{}],True
Why is conducting a seed germination test important for wheat crops?,"[""{'Crop name': 'Wheat', 'Crop seed_germination_test_requirements_are': 'Seed germination test should be conducted to check seed germination status of seed. To ensure optimum plant population and thereby good yield, minimum 85% germination is essential.', 'Crop harvesting_guidelines_are': 'Harvest crop at proper maturity to minimize risk due to shattering, threshing etc.', 'Crop storage_guidelines_are': 'Follow proper storage practices for wheat produce to avoid post-harvest losses.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Central Zone', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations SeedList has_seeding_rate QuantitativeValue value': '100 kg per hectare'}""]","To ensure optimum plant population and thereby good yield, minimum 85% germination is essential.",simple,[{}],True
What are the guidelines for harvesting and storing wheat?,"[""{'Crop name': 'Wheat', 'Crop harvesting_guidelines_are': 'When the moisture level of grain is 25% it is the proper time for manual harvesting. Generally, wheat is manually harvested but for quick harvesting, combine harvester should be used to avoid losses in grain yield due to shattering and lodging. Wheat should be harvested 4-5 days before it is dead ripe. Morning is the best time for harvesting. Mechanical harvesting through combine machine is done at places where uniform ripening of wheat happens. In case of manual harvesting, bundles are made and dried for 3-4 days and threshed by thresher. Before storage, grain should be dried by spreading on tarpaulin plastic sheets in bright sunlight to a moisture level below 12%.', 'Crop storage_guidelines_are': 'For storage, use bins and silos made of GI sheets. Now a days, aluminium bins, Pusa bins, silos and poly lined bags are available for storage. Farmers can store wheat grains in their traditional storage as well. Improved storage structures of various capacities are now available. The air-tight bin can be used. It is so constructed that it does not allow entry of any outside insects and rodents and the insects present in the grain do not get favourable atmosphere to develop. For filling and using the metal bin, the following storage practices are recommended: Clean the bin thoroughly and do not allow the left-overs of the previously stored grains to remain in the bin. Inspect the covers to ensure that the gaskets are intact. Clean and sort the grains of all impurities. Broken kernels and other impurities lead to insect attraction and, hence, should be separated. Do not mix the new grains with old stock as the latter may be infested with insects. Never store infested grains, or grains with high moisture content. Dry the grains out in the sun, cool it and fill in the bin later in the evening. The moisture content of the grains should not be higher than 9 %. Fill-in the bin to full capacity and tight the lid properly. Do not open the bin for the first 30 days and thereafter open it fortnightly. The cover should be replaced immediately after use. Inspect the grains frequently.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone name': 'Peninsular Zone', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone has_seed_recommendations variety_name': 'UAS 428'}""]","When the moisture level of grain is 25% it is the proper time for manual harvesting. Generally, wheat is manually harvested but for quick harvesting, combine harvester should be used to avoid losses in grain yield due to shattering and lodging. Wheat should be harvested 4-5 days before it is dead ripe. Morning is the best time for harvesting. Mechanical harvesting through combine machine is done at places where uniform ripening of wheat happens. In case of manual harvesting, bundles are made and dried for 3-4 days and threshed by thresher. Before storage, grain should be dried by spreading on tarpaulin plastic sheets in bright sunlight to a moisture level below 12%. For storage, use bins and silos made of GI sheets. Now a days, aluminium bins, Pusa bins, silos and poly lined bags are available for storage. Farmers can store wheat grains in their traditional storage as well. Improved storage structures of various capacities are now available. The air-tight bin can be used. It is so constructed that it does not allow entry of any outside insects and rodents and the insects present in the grain do not get favourable atmosphere to develop. For filling and using the metal bin, the following storage practices are recommended: Clean the bin thoroughly and do not allow the left-overs of the previously stored grains to remain in the bin. Inspect the covers to ensure that the gaskets are intact. Clean and sort the grains of all impurities. Broken kernels and other impurities lead to insect attraction and, hence, should be separated. Do not mix the new grains with old stock as the latter may be infested with insects. Never store infested grains, or grains with high moisture content. Dry the grains out in the sun, cool it and fill in the bin later in the evening. The moisture content of the grains should not be higher than 9 %. Fill-in the bin to full capacity and tight the lid properly. Do not open the bin for the first 30 days and thereafter open it fortnightly. The cover should be replaced immediately after use. Inspect the grains frequently.",simple,[{}],True
What is the importance of conducting a seed germination test for wheat crops?,"[""{'Crop name': 'Wheat', 'Crop seed_germination_test_requirements_are': 'Seed germination test should be conducted to check seed germination status of seed. To ensure optimum plant population and thereby good yield, minimum 85% germination is essential.', 'Crop harvesting_guidelines_are': 'Harvest crop at proper maturity to minimize risk due to shattering, threshing etc.', 'Crop storage_guidelines_are': 'Follow proper storage practices for wheat produce to avoid post-harvest losses.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Northern Hills Zone', 'Crop has_growing_zones CropGrowingZones CropGrowingZone has_regions': 'Uttarakhand'}""]","To ensure optimum plant population and thereby good yield, minimum 85% germination is essential.",simple,[{}],True
What are the guidelines for harvesting and storing wheat?,"[""{'Crop name': 'Wheat', 'Crop harvesting_guidelines_are': 'When the moisture level of grain is 25% it is the proper time for manual harvesting. Generally, wheat is manually harvested but for quick harvesting, combine harvester should be used to avoid losses in grain yield due to shattering and lodging. Wheat should be harvested 4-5 days before it is dead ripe. Morning is the best time for harvesting. Mechanical harvesting through combine machine is done at places where uniform ripening of wheat happens. In case of manual harvesting, bundles are made and dried for 3-4 days and threshed by thresher. Before storage, grain should be dried by spreading on tarpaulin plastic sheets in bright sunlight to a moisture level below 12%.', 'Crop storage_guidelines_are': 'For storage, use bins and silos made of GI sheets. Now a days, aluminium bins, Pusa bins, silos and poly lined bags are available for storage. Farmers can store wheat grains in their traditional storage as well. Improved storage structures of various capacities are now available. The air-tight bin can be used. It is so constructed that it does not allow entry of any outside insects and rodents and the insects present in the grain do not get favourable atmosphere to develop. For filling and using the metal bin, the following storage practices are recommended: Clean the bin thoroughly and do not allow the left-overs of the previously stored grains to remain in the bin. Inspect the covers to ensure that the gaskets are intact. Clean and sort the grains of all impurities. Broken kernels and other impurities lead to insect attraction and, hence, should be separated. Do not mix the new grains with old stock as the latter may be infested with insects. Never store infested grains, or grains with high moisture content. Dry the grains out in the sun, cool it and fill in the bin later in the evening. The moisture content of the grains should not be higher than 9 %. Fill-in the bin to full capacity and tight the lid properly. Do not open the bin for the first 30 days and thereafter open it fortnightly. The cover should be replaced immediately after use. Inspect the grains frequently.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone name': 'Southern Hills Zone', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone has_seed_recommendations SeedList has_seeding_rate QuantitativeValue value': '100', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone has_seed_recommendations SeedList has_seeding_rate QuantitativeValue unitText': 'kg/ha'}""]","When the moisture level of grain is 25% it is the proper time for manual harvesting. Generally, wheat is manually harvested but for quick harvesting, combine harvester should be used to avoid losses in grain yield due to shattering and lodging. Wheat should be harvested 4-5 days before it is dead ripe. Morning is the best time for harvesting. Mechanical harvesting through combine machine is done at places where uniform ripening of wheat happens. In case of manual harvesting, bundles are made and dried for 3-4 days and threshed by thresher. Before storage, grain should be dried by spreading on tarpaulin plastic sheets in bright sunlight to a moisture level below 12%. For storage, use bins and silos made of GI sheets. Now a days, aluminium bins, Pusa bins, silos and poly lined bags are available for storage. Farmers can store wheat grains in their traditional storage as well. Improved storage structures of various capacities are now available. The air-tight bin can be used. It is so constructed that it does not allow entry of any outside insects and rodents and the insects present in the grain do not get favourable atmosphere to develop. For filling and using the metal bin, the following storage practices are recommended: Clean the bin thoroughly and do not allow the left-overs of the previously stored grains to remain in the bin. Inspect the covers to ensure that the gaskets are intact. Clean and sort the grains of all impurities. Broken kernels and other impurities lead to insect attraction and, hence, should be separated. Do not mix the new grains with old stock as the latter may be infested with insects. Never store infested grains, or grains with high moisture content. Dry the grains out in the sun, cool it and fill in the bin later in the evening. The moisture content of the grains should not be higher than 9 %. Fill-in the bin to full capacity and tight the lid properly. Do not open the bin for the first 30 days and thereafter open it fortnightly. The cover should be replaced immediately after use. Inspect the grains frequently.",simple,[{}],True
What is the end date for the early sowing time of wheat in the Central Zone?,"[""{'Crop name': 'Wheat', 'Crop seed_germination_test_requirements_are': 'Seed germination test should be conducted to check seed germination status of seed. To ensure optimum plant population and thereby good yield, minimum 85% germination is essential.', 'Crop harvesting_guidelines_are': 'Harvest crop at proper maturity to minimize risk due to shattering, threshing etc.', 'Crop storage_guidelines_are': 'Follow proper storage practices for wheat produce to avoid post-harvest losses.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Central Zone', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations SeedList has_early_sowing_time SowingTime start_date': '2022-11-10', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations SeedList has_early_sowing_time SowingTime end_date': '2022-11-30'}""]",2022-11-30,simple,[{}],True
What are the harvesting and storage guidelines for wheat?,"[""{'Crop name': 'Wheat', 'Crop harvesting_guidelines_are': 'When the moisture level of grain is 25% it is the proper time for manual harvesting. Generally, wheat is manually harvested but for quick harvesting, combine harvester should be used to avoid losses in grain yield due to shattering and lodging. Wheat should be harvested 4-5 days before it is dead ripe. Morning is the best time for harvesting. Mechanical harvesting through combine machine is done at places where uniform ripening of wheat happens. In case of manual harvesting, bundles are made and dried for 3-4 days and threshed by thresher. Before storage, grain should be dried by spreading on tarpaulin plastic sheets in bright sunlight to a moisture level below 12%.', 'Crop storage_guidelines_are': 'For storage, use bins and silos made of GI sheets. Now a days, aluminium bins, Pusa bins, silos and poly lined bags are available for storage. Farmers can store wheat grains in their traditional storage as well. Improved storage structures of various capacities are now available. The air-tight bin can be used. It is so constructed that it does not allow entry of any outside insects and rodents and the insects present in the grain do not get favourable atmosphere to develop. For filling and using the metal bin, the following storage practices are recommended: Clean the bin thoroughly and do not allow the left-overs of the previously stored grains to remain in the bin. Inspect the covers to ensure that the gaskets are intact. Clean and sort the grains of all impurities. Broken kernels and other impurities lead to insect attraction and, hence, should be separated. Do not mix the new grains with old stock as the latter may be infested with insects. Never store infested grains, or grains with high moisture content. Dry the grains out in the sun, cool it and fill in the bin later in the evening. The moisture content of the grains should not be higher than 9 %. Fill-in the bin to full capacity and tight the lid properly. Do not open the bin for the first 30 days and thereafter open it fortnightly. The cover should be replaced immediately after use. Inspect the grains frequently.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone name': 'North Eastern Plains Zone', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone has_seed_recommendations SeedList has_early_sowing_time SowingTime start_date': '10th November', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone has_seed_recommendations SeedList has_early_sowing_time SowingTime end_date': '25th November'}""]","When the moisture level of grain is 25% it is the proper time for manual harvesting. Generally, wheat is manually harvested but for quick harvesting, combine harvester should be used to avoid losses in grain yield due to shattering and lodging. Wheat should be harvested 4-5 days before it is dead ripe. Morning is the best time for harvesting. Mechanical harvesting through combine machine is done at places where uniform ripening of wheat happens. In case of manual harvesting, bundles are made and dried for 3-4 days and threshed by thresher. Before storage, grain should be dried by spreading on tarpaulin plastic sheets in bright sunlight to a moisture level below 12%. For storage, use bins and silos made of GI sheets. Now a days, aluminium bins, Pusa bins, silos and poly lined bags are available for storage. Farmers can store wheat grains in their traditional storage as well. Improved storage structures of various capacities are now available. The air-tight bin can be used. It is so constructed that it does not allow entry of any outside insects and rodents and the insects present in the grain do not get favourable atmosphere to develop. For filling and using the metal bin, the following storage practices are recommended: Clean the bin thoroughly and do not allow the left-overs of the previously stored grains to remain in the bin. Inspect the covers to ensure that the gaskets are intact. Clean and sort the grains of all impurities. Broken kernels and other impurities lead to insect attraction and, hence, should be separated. Do not mix the new grains with old stock as the latter may be infested with insects. Never store infested grains, or grains with high moisture content. Dry the grains out in the sun, cool it and fill in the bin later in the evening. The moisture content of the grains should not be higher than 9 %. Fill-in the bin to full capacity and tight the lid properly. Do not open the bin for the first 30 days and thereafter open it fortnightly. The cover should be replaced immediately after use. Inspect the grains frequently.",simple,[{}],True
What are some common diseases that affect wheat crops?,"[""{'Crop name': 'Wheat', 'Crop seed_germination_test_requirements_are': 'Seed germination test should be conducted to check seed germination status of seed. To ensure optimum plant population and thereby good yield, minimum 85% germination is essential.', 'Crop harvesting_guidelines_are': 'Harvest crop at proper maturity to minimize risk due to shattering, threshing etc.', 'Crop storage_guidelines_are': 'Follow proper storage practices for wheat produce to avoid post-harvest losses.', 'Crop needs_disease_treatements DiseaseTreatements disease_name': 'Yellow Rust, Brown or leaf rust, Loose Smut, Karnal Bunt, Powdery Mildew, Flag Smut', 'Crop needs_disease_treatements DiseaseTreatements disease_symptoms': 'Various'}""]","Yellow Rust, Brown or leaf rust, Loose Smut, Karnal Bunt, Powdery Mildew, Flag Smut",simple,[{}],True
What are the guidelines for storing wheat produce to avoid post-harvest losses?,"[""{'Crop name': 'Wheat', 'Crop seed_germination_test_requirements_are': 'Seed germination test should be conducted to check seed germination status of seed. To ensure optimum plant population and thereby good yield, minimum 85% germination is essential.', 'Crop harvesting_guidelines_are': 'Harvest crop at proper maturity to minimize risk due to shattering, threshing etc.', 'Crop storage_guidelines_are': 'Follow proper storage practices for wheat produce to avoid post-harvest losses.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Peninsular Zone'}""]",Follow proper storage practices for wheat produce to avoid post-harvest losses.,simple,[{}],True
