question,contexts,ground_truth,evolution_type,metadata,episode_done
What are the harvesting guidelines for mango crops?,"[""{'Crop name': 'MANGO (Mangifera indica)', 'Crop harvesting_guidelines_are': 'Not specified', 'Crop storage_guidelines_are': 'Not specified', 'Crop has_types CropType name': 'Mango', 'Crop has_types CropType used_for': 'Fruit'}""]",Not specified,simple,[{}],True
What are the recommended sowing dates for cauliflower in the Hills growing zone?,"[""{'Crop name': 'Cauliflower', 'Crop harvesting_guidelines_are': 'not specified', 'Crop storage_guidelines_are': 'not specified', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Hills', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations SeedList has_early_sowing_time SowingTime start_date': 'September', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations SeedList has_early_sowing_time SowingTime end_date': 'February'}""]",The recommended sowing dates for cauliflower in the Hills growing zone are from September to February.,simple,[{}],True
What are the guidelines for harvesting and storing rice crops?,"[""{'Crop name': 'Rice', 'Crop seed_germination_test_requirements_are': 'NA', 'Crop harvesting_guidelines_are': 'NA', 'Crop storage_guidelines_are': 'NA', 'Crop has_types CropType name': 'Transplanted Puddled Lowland Rice', 'Crop has_types CropType used_for': 'Wet season with assured irrigation'}""]",nan,simple,[{}],True
What are the guidelines for harvesting sugarcane?,"[""{'Crop name': 'Sugarcane', 'Crop seed_germination_test_requirements_are': 'Not specified', 'Crop harvesting_guidelines_are': 'Harvest the mature cane when the brix reading reaches 18 or above . Hand refractometers have been provided in all the important cane growing centres and this should be used for testing of the juice and for advising the farmers to harvest the crop at the right stage. Transport the cane immediately after harvest to the factory for crushing. Maximum recovery takes place when the cane is crushed within 24 hours after harvesting. Further delay in crushing the cane results in lowering the recovery of sugar. Sugarcane harvesting knife should be used for harvesting. A stripper should be used for removing the cane leaves and detopping.', 'Crop storage_guidelines_are': 'Not specified', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Orissa', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations variety_name': 'Co 90017'}""]",Harvest the mature cane when the brix reading reaches 18 or above. Hand refractometers have been provided in all the important cane growing centres and this should be used for testing of the juice and for advising the farmers to harvest the crop at the right stage. Transport the cane immediately after harvest to the factory for crushing. Maximum recovery takes place when the cane is crushed within 24 hours after harvesting. Further delay in crushing the cane results in lowering the recovery of sugar. Sugarcane harvesting knife should be used for harvesting. A stripper should be used for removing the cane leaves and detopping.,simple,[{}],True
What are the guidelines for harvesting and preparing Snake Gourd?,"[""{'Crop name': 'Snake Gourd', 'Crop harvesting_guidelines_are': 'Harvesting can be done only after 10 days (at least) of insecticide / fungicide application. The fruits should be washed thoroughly in water before cooking.', 'Crop storage_guidelines_are': 'Store in a cool, dry place'}""]",Harvesting can be done only after 10 days (at least) of insecticide / fungicide application. The fruits should be washed thoroughly in water before cooking.,simple,[{}],True
What type of soil should be avoided for growing sugarcane?,"[""{'Crop name': 'SUGARCANE ( Saccharum Officinarum  L.)', 'Crop seed_germination_test_requirements_are': 'Healthy seed material, free from insect pest and di seases having high viability is essential. The top one third to half portion of can e being immature has good viable buds hence it is best to use as seeds. The bottom portion is usua lly richer in sugar so it is used for making sugar or jaggery (Gur). If seed cane is to be trans ported to a distant place it is carried without stripping off the leaves and not cut into setts, th is is to prevent drying and injury to dormant buds. If planting is to be delayed for any reason, the cut canes should be kept in shade and periodically sprinkled with water. The stalks are c ut into 3 bud setts each, usually 30 – 40 cm long. Soaking the setts in water for 4 – 6 hours be fore planting hastens germination. To prevent rotting and infection setts are dipped in 0.2 % Car bendazin for 30 minutes or Chlorpyriphos at 1 kg a.i/ha in emulsion form and diluted 300 times an d is sprinkled with a watering can on the setts placed in furrows.', 'Crop harvesting_guidelines_are': 'The canes are cut 3 – 5 cm below the ground level, the dried leaves are stripped off upto top most internode. The harvested canes sh ould be crushed quickly otherwise canes lose weight unless kept moist. In tropical areas qu ick processing is essential to avoid deterioration of the quality due to activity of Leuconostoc  bacteria.', 'Crop storage_guidelines_are': 'The harvested canes sh ould be crushed quickly otherwise canes lose weight unless kept moist. In tropical areas qu ick processing is essential to avoid deterioration of the quality due to activity of Leuconostoc  bacteria.', 'Crop has_soil_requirements SoilRequirements soil_type_name': 'medium to heavy soils', 'Crop has_soil_requirements SoilRequirements avoid_soil_type': 'light soils', 'Crop has_soil_requirements SoilRequirements for_water': 'adequate irrigation facility', 'Crop has_soil_requirements SoilRequirements for_nutrients': 'good drainage is essential'}""]",light soils,simple,[{}],True
What is the growing zone for sugarcane in Orissa?,"[""{'Crop name': 'Sugarcane', 'Crop seed_germination_test_requirements_are': 'Not specified', 'Crop harvesting_guidelines_are': 'Harvest the mature cane when the brix reading reaches 18 or above . Hand refractometers have been provided in all the important cane growing centres and this should be used for testing of the juice and for advising the farmers to harvest the crop at the right stage. Transport the cane immediately after harvest to the factory for crushing. Maximum recovery takes place when the cane is crushed within 24 hours after harvesting. Further delay in crushing the cane results in lowering the recovery of sugar. Sugarcane harvesting knife should be used for harvesting. A stripper should be used for removing the cane leaves and detopping.', 'Crop storage_guidelines_are': 'Not specified', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Orissa'}""]",Orissa,simple,[{}],True
What is the growing zone for the mango crop?,"[""{'Crop name': 'MANGO (Mangifera indica)', 'Crop harvesting_guidelines_are': 'Not specified', 'Crop storage_guidelines_are': 'Not specified', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Tropical', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations variety_name': 'Mundappa'}""]",Tropical,simple,[{}],True
"What is the growing zone for cauliflower variety ""Pusa Dapoli""?","[""{'Crop name': 'Cauliflower', 'Crop harvesting_guidelines_are': 'not specified', 'Crop storage_guidelines_are': 'not specified', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Hills', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations variety_name': 'Pusa Dapoli'}""]",Hills,simple,[{}],True
What are the specified guidelines for harvesting cauliflower crops?,"[""{'Crop name': 'Cauliflower', 'Crop harvesting_guidelines_are': 'not specified', 'Crop storage_guidelines_are': 'not specified'}""]",nan,simple,[{}],True
What is the growing season for broccoli?,"[""{'Crop name': 'Broccoli (Brassica oleracea var. italica)', 'Crop harvesting_guidelines_are': 'The heads having 10 - 15cm stems should be harvested with a sharp knife when its bud cluster is green and compact. If harvesting is delayed the bud cluster becomes loose. Pick regularly to ensure the heads are at their tastiest and to encourage the formation of side-shoots.', 'Crop storage_guidelines_are': 'Broccoli is more perishable than cauliflower. Just after harvesting, heads and shoots should be disposed immediately, otherwise the buds and leaves become yellowish and give an unattractive appearance.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Cool season', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations variety_name': 'Aiswarya'}""]",Cool season,simple,[{}],True
What are the growing zones for mango crops?,"[""{'Crop name': 'MANGO (Mangifera indica)', 'Crop harvesting_guidelines_are': 'Not specified', 'Crop storage_guidelines_are': 'Not specified', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Tropical', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations SeedList has_seeding_rate QuantitativeValue value': '1 year old grafts'}""]",Tropical,simple,[{}],True
"What are the growing zones for rice in North Western Plateau, Sundargarh?","[""{'Crop name': 'Rice', 'Crop seed_germination_test_requirements_are': 'Test the germination percentage before sowing.', 'Crop harvesting_guidelines_are': 'Harvest the crop when the grains in the panicle are grey in colour.  Delayed harvesting causes considerable loss by shattering and due to damage by rats and birds.  However, early varieties should be harvested 25 days after 50% flowering.', 'Crop storage_guidelines_are': 'The early crop is to be threshed within a day or two after harvest otherwise there would be fermentation and discolouration of grains. Reduce the moisture content of grains to 14% by drying.', 'Crop has_growing_zones CropGrowingZones CropGrowingZone CropGrowingZone name': 'North Western Plateau, Sundargarh', 'Crop has_growing_zones CropGrowingZones CropGrowingZone has_regions': 'Up'}""]","North Western Plateau, Sundargarh",simple,[{}],True
What is the recommended seeding rate for 1 year old grafts of the mango crop in tropical growing zones?,"[""{'Crop name': 'MANGO (Mangifera indica)', 'Crop harvesting_guidelines_are': 'Not specified', 'Crop storage_guidelines_are': 'Not specified', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  name': 'Tropical', 'Crop has_growing_zones CropGrowingZones CropGrowingZone  has_seed_recommendations SeedList has_seeding_rate QuantitativeValue value': '1 year old grafts'}""]",nan,simple,[{}],True
What is the name of the crop mentioned in the given context?,"[""{'Crop name': 'Niger', 'Crop harvesting_guidelines_are': 'Harvest the crop when the leaves and flower petals dry up and heads turn blackish. Keep the harvested bundles in stacks for 5-7 days to enable the seeds to reach full maturity. Thereafter dry the bundles and beat the heads with a stick to separate out the seeds.', 'Crop storage_guidelines_are': 'Not specified'}""]",Niger,simple,[{}],True
